Year, China (PgC/yr), US (PgC/yr), North America (PgC/yr)
1993,0.927282221200896427,1.644536253527092375,1.901153264352516457
1994,0.983780139695703238,1.665894168679596297,1.930245008445788175
1995,1.066868946812802739,1.678985028348762169,1.940746879431501403
1996,1.113565134241922013,1.717475084604118392,1.987229206224212423
1997,1.114935657270546630,1.755498965245548263,2.038093997857632115
1998,1.067555163106904365,1.766371718118241057,2.059034475799091533
1999,1.128490441188126616,1.799931686220524460,2.096227234443198517
2000,1.157836108046292886,1.861745927569197118,2.166393937330086157
2001,1.183418497663009912,1.830438878068711236,2.137663961455432326
2002,1.308920866953329742,1.845074800857840851,2.149904504070967436
2003,1.541467488507519290,1.856097918140599132,2.180220721423385292
2004,1.673737433588942327,1.882305828184274212,2.206954744821989536
2005,1.886696777356061712,1.893247842095636576,2.229279702451027557
2006,2.082679915248354524,1.863727294973545149,2.206660805221557990
2007,2.241107031290092692,1.893173597592071816,2.236998039455192536
2008,2.406380466001970321,1.836873105954379588,2.179195129517823830
2009,2.534340539477124438,1.722377050337874144,2.050738794936142862
2010,2.764870478140985966,1.764375850943295658,2.086019506957085058
2011,3.064352453673736006,1.724426262456132472,2.052907122714380920
2012,3.154947975829425082,1.662721983406032436,1.993761610091947764
2013,3.201545164395842701,1.690911690237992257,2.022188055234931037
2014,3.206807982726474851,1.709319986545109749,2.043677005398916453
2015,3.173716895347199589,1.677279158746423386,2.012528159592824802
2016,3.138126303323749453,1.633671766503337398,1.977313195729734004
2017,3.204238290649559349,1.621871564371226355,1.969477956627516076
2018,3.320178258308266103,1.669164340948072821,2.020687600793322176
2019,3.432901898340956122,1.643829352198928036,1.996097817452633753
2020,3.499564657218747586,1.469815752808323316,1.793337326105133444
2021,3.694153858683013916,1.577594444375138544,1.885072404095243663
2022,3.728292896233142912,1.567444577219987102,1.877184930029226840
2023,3.960762804849075526,1.453043077451467328,1.768472173092179373
2024,3.964108513352542371,1.452011076209429465,1.767437149420057610
