Year,BCM
1975,168.90900000000002
1976,194.5125
1977,189.57899999999995
1978,182.78324999999995
1979,185.31824999999995
1980,160.04625
1981,122.42099999999999
1982,107.15249999999996
1983,96.35925000000002
1984,97.41225000000001
1985,100.85400000000001
1986,99.5085
1987,91.66949999999999
1988,93.25874999999999
1989,105.02699999999999
1990,109.2585
1991,129.95775
1992,109.77525
1993,106.65525000000001
1994,101.18549999999998
1995,101.99474999999998
1996,104.1495
1997,106.90875000000001
1998,105.87525000000001
1999,98.70899999999999
2000,91.299
2001,89.13449999999999
2002,96.20324999999997
2003,101.33175000000001
2004,114.75749999999996
2005,118.16999999999994
2006,119.38874999999997
2007,124.99499999999996
2008,137.25074999999998
2009,133.18499999999997
2010,122.01149999999997
2011,119.1645
2012,125.87249999999997
2013,147.52878852250143
2014,151.30346983561483
2015,152.98595430050747
2016,156.0473999559036
2017,147.60045166396608
2018,151.03923836558113
2019,156.875971757002
2020,148.78810293702156
2021,152.66071199599068
2022,146.84847018972226
2023,157.13885164756067
2024,158.79116359037042
